claim_no,Occurrence,Development,Incurred
14,2,9,738599.5551643812
14,2,10,738599.5551643812
14,2,11,738599.5551643812
14,2,12,738599.5551643812
14,2,13,738599.5551643812
14,2,14,738599.5551643812
14,2,15,738599.5551643812
14,2,16,738599.5551643812
14,2,17,738599.5551643812
14,2,18,738599.5551643812
14,2,19,738599.5551643812
14,2,20,738599.5551643812
14,2,21,738599.5551643812
14,2,22,738599.5551643812
14,2,23,738599.5551643812
14,2,24,738599.5551643812
14,2,25,738599.5551643812
14,2,26,738599.5551643812
14,2,27,738599.5551643812
14,2,28,738599.5551643812
14,2,29,738599.5551643812
14,2,30,738599.5551643812
14,2,31,738599.5551643812
14,2,32,738599.5551643812
14,2,33,738599.5551643812
14,2,34,738599.5551643812
14,2,35,738599.5551643812
15,1,0,69893.9446896574
15,1,1,69893.9446896574
15,1,2,82681.7875016291
15,1,3,82681.7875016291
15,1,4,75664.8067928084
15,1,5,75664.8067928084
15,1,6,81260.1128392918
15,1,7,66992.4942716982
15,1,8,67221.9153122228
15,1,9,67221.9153122228
15,1,10,66522.524485881
15,1,11,66231.2395823302
15,1,12,66231.2395823302
15,1,13,66231.2395823302
15,1,14,66231.2395823302
15,1,15,66231.2395823302
15,1,16,66231.2395823302
15,1,17,66231.2395823302
15,1,18,66231.2395823302
15,1,19,66231.2395823302
15,1,20,66231.2395823302
15,1,21,66231.2395823302
15,1,22,66231.2395823302
15,1,23,66231.2395823302
15,1,24,66231.2395823302
15,1,25,66231.2395823302
15,1,26,66231.2395823302
15,1,27,66231.2395823302
15,1,28,66231.2395823302
15,1,29,66231.2395823302
15,1,30,66231.2395823302
15,1,31,66231.2395823302
15,1,32,66231.2395823302
15,1,33,66231.2395823302
15,1,34,66231.2395823302
15,1,35,66231.2395823302
16,1,0,36798.7860355442
16,1,1,36798.7860355442
16,1,2,36798.7860355442
16,1,3,36798.7860355442
16,1,4,36798.7860355442
16,1,5,45172.165406648
16,1,6,40507.2135317702
16,1,7,40507.2135317702
16,1,8,40507.2135317702
16,1,9,40507.2135317702
16,1,10,40507.2135317702
16,1,11,40507.2135317702
16,1,12,40507.2135317702
16,1,13,40507.2135317702
16,1,14,40507.2135317702
16,1,15,40507.2135317702
16,1,16,40507.2135317702
16,1,17,40507.2135317702
16,1,18,40507.2135317702
16,1,19,40507.2135317702
16,1,20,40507.2135317702
16,1,21,40507.2135317702
16,1,22,40507.2135317702
16,1,23,40507.2135317702
16,1,24,40507.2135317702
16,1,25,40507.2135317702
16,1,26,40507.2135317702
16,1,27,40507.2135317702
16,1,28,40507.2135317702
16,1,29,40507.2135317702
16,1,30,40507.2135317702
16,1,31,40507.2135317702
16,1,32,40507.2135317702
16,1,33,40507.2135317702
16,1,34,40507.2135317702
16,1,35,40507.2135317702
17,3,0,17305.8201740756
17,3,1,17305.8201740756
17,3,2,22724.1306629076
17,3,3,22724.1306629076
17,3,4,22724.1306629076
17,3,5,15246.6829632207
17,3,6,15246.6829632207
17,3,7,15246.6829632207
17,3,8,15246.6829632207
17,3,9,15246.6829632207
17,3,10,15246.6829632207
17,3,11,15246.6829632207
17,3,12,15246.6829632207
17,3,13,15246.6829632207
17,3,14,15246.6829632207
17,3,15,15246.6829632207
17,3,16,15246.6829632207
17,3,17,15246.6829632207
17,3,18,15246.6829632207
17,3,19,15246.6829632207
17,3,20,15246.6829632207
17,3,21,15246.6829632207
17,3,22,15246.6829632207
17,3,23,15246.6829632207
17,3,24,15246.6829632207
17,3,25,15246.6829632207
17,3,26,15246.6829632207
17,3,27,15246.6829632207
17,3,28,15246.6829632207
17,3,29,15246.6829632207
17,3,30,15246.6829632207
17,3,31,15246.6829632207
17,3,32,15246.6829632207
17,3,33,15246.6829632207
17,3,34,15246.6829632207
17,3,35,15246.6829632207
18,5,0,27636.9145167705
18,5,1,27636.9145167705
18,5,2,30456.8234363859
18,5,3,30456.8234363859
18,5,4,30456.8234363859
18,5,5,35284.7473188129
18,5,6,33040.5579465727
18,5,7,33040.5579465727
18,5,8,33040.5579465727
18,5,9,33040.5579465727
18,5,10,33040.5579465727
18,5,11,33040.5579465727
18,5,12,33040.5579465727
18,5,13,33040.5579465727
18,5,14,33040.5579465727
18,5,15,33040.5579465727
18,5,16,33040.5579465727
18,5,17,33040.5579465727
18,5,18,33040.5579465727
18,5,19,33040.5579465727
18,5,20,33040.5579465727
18,5,21,33040.5579465727
18,5,22,33040.5579465727
18,5,23,33040.5579465727
18,5,24,33040.5579465727
18,5,25,33040.5579465727
18,5,26,33040.5579465727
18,5,27,33040.5579465727
18,5,28,33040.5579465727
18,5,29,33040.5579465727
18,5,30,33040.5579465727
18,5,31,33040.5579465727
18,5,32,33040.5579465727
18,5,33,33040.5579465727
18,5,34,33040.5579465727
18,5,35,33040.5579465727
19,2,0,96837.5299645416
19,2,1,96837.5299645416
19,2,2,96837.5299645416
19,2,3,96837.5299645416
19,2,4,96837.5299645416
19,2,5,95361.3296883429
19,2,6,95361.3296883429
19,2,7,95361.3296883429
19,2,8,95361.3296883429
19,2,9,95361.3296883429
19,2,10,78301.8664612643
19,2,11,67351.2150994495
19,2,12,67613.4485671557
19,2,13,67613.4485671557
19,2,14,67613.4485671557
19,2,15,67613.4485671557
19,2,16,67613.4485671557
19,2,17,67613.4485671557
19,2,18,67613.4485671557
19,2,19,67613.4485671557
19,2,20,67613.4485671557
19,2,21,67613.4485671557
19,2,22,67613.4485671557
19,2,23,67613.4485671557
19,2,24,67613.4485671557
19,2,25,67613.4485671557
19,2,26,67613.4485671557
19,2,27,67613.4485671557
19,2,28,67613.4485671557
19,2,29,67613.4485671557
19,2,30,67613.4485671557
19,2,31,67613.4485671557
19,2,32,67613.4485671557
19,2,33,67613.4485671557
19,2,34,67613.4485671557
19,2,35,67613.4485671557
20,2,0,4706.87435920665
20,2,1,4706.87435920665
20,2,2,4706.87435920665
20,2,3,4706.87435920665
20,2,4,4706.87435920665
20,2,5,4706.87435920665
20,2,6,4706.87435920665
20,2,7,4706.87435920665
20,2,8,4706.87435920665
20,2,9,4706.87435920665
20,2,10,4706.87435920665
20,2,11,4706.87435920665
20,2,12,4706.87435920665
20,2,13,4706.87435920665
20,2,14,4706.87435920665
20,2,15,4706.87435920665
20,2,16,4706.87435920665
20,2,17,4706.87435920665
20,2,18,4706.87435920665
20,2,19,4706.87435920665
20,2,20,4706.87435920665
20,2,21,4706.87435920665
20,2,22,4706.87435920665
20,2,23,4706.87435920665
20,2,24,4706.87435920665
20,2,25,4706.87435920665
20,2,26,4706.87435920665
20,2,27,4706.87435920665
20,2,28,4706.87435920665
20,2,29,4706.87435920665
20,2,30,4706.87435920665
20,2,31,4706.87435920665
20,2,32,4706.87435920665
20,2,33,4706.87435920665
20,2,34,4706.87435920665
20,2,35,4706.87435920665
21,1,0,16867.801945503
21,1,1,19281.0048284797
21,1,2,25201.8277819852
21,1,3,29414.8321766339
21,1,4,29414.8321766339
21,1,5,29414.8321766339
21,1,6,214215.872226204
21,1,7,488639.868997469
21,1,8,488639.868997469
21,1,9,488639.868997469
21,1,10,394118.52073384903
21,1,11,394118.52073384903
21,1,12,394118.52073384903
21,1,13,361137.355594944
21,1,14,361137.355594944
21,1,15,361137.355594944
21,1,16,361137.355594944
21,1,17,361137.355594944
21,1,18,361137.355594944
21,1,19,361137.355594944
21,1,20,361137.355594944
21,1,21,361137.355594944
21,1,22,361137.355594944
21,1,23,361137.355594944
21,1,24,361137.355594944
21,1,25,361137.355594944
21,1,26,361137.355594944
21,1,27,361137.355594944
21,1,28,361137.355594944
21,1,29,361137.355594944
21,1,30,361137.355594944
21,1,31,361137.355594944
21,1,32,361137.355594944
21,1,33,361137.355594944
21,1,34,361137.355594944
21,1,35,361137.355594944
22,2,0,58609.1026837016
22,2,1,58609.1026837016
22,2,2,78890.6925542388
22,2,3,110864.349034808
22,2,4,110864.349034808
22,2,5,110864.349034808
22,2,6,110864.349034808
22,2,7,110864.349034808
22,2,8,91689.1830733448
22,2,9,91689.1830733448
22,2,10,91689.1830733448
22,2,11,91689.1830733448
22,2,12,91689.1830733448
22,2,13,90210.224664207
22,2,14,90210.224664207
22,2,15,90091.8386612712
22,2,16,90091.8386612712
22,2,17,90091.8386612712
22,2,18,90091.8386612712
22,2,19,90091.8386612712
22,2,20,90091.8386612712
22,2,21,90091.8386612712
22,2,22,90091.8386612712
22,2,23,90091.8386612712
22,2,24,90091.8386612712
22,2,25,90091.8386612712
22,2,26,90091.8386612712
22,2,27,90091.8386612712
22,2,28,90091.8386612712
22,2,29,90091.8386612712
22,2,30,90091.8386612712
22,2,31,90091.8386612712
22,2,32,90091.8386612712
22,2,33,90091.8386612712
22,2,34,90091.8386612712
22,2,35,90091.8386612712
23,1,0,43530.347572138
23,1,1,43530.347572138
23,1,2,43530.347572138
23,1,3,43530.347572138
23,1,4,43530.347572138
23,1,5,43530.347572138
23,1,6,43530.347572138
23,1,7,43530.347572138
23,1,8,43530.347572138
23,1,9,251721.828298259
23,1,10,251721.828298259
23,1,11,251721.828298259
23,1,12,639160.705310111
23,1,13,639160.705310111
23,1,14,639160.705310111
23,1,15,601766.323761037
23,1,16,587572.38293992
23,1,17,587572.38293992
23,1,18,542314.46922208
23,1,19,542314.46922208
23,1,20,517967.623719841
23,1,21,517967.623719841
23,1,22,517967.623719841
23,1,23,517967.623719841
23,1,24,517967.623719841
23,1,25,517967.623719841
23,1,26,517967.623719841
23,1,27,517967.623719841
23,1,28,517967.623719841
23,1,29,517967.623719841
23,1,30,517967.623719841
23,1,31,517967.623719841
23,1,32,517967.623719841
23,1,33,517967.623719841
23,1,34,517967.623719841
23,1,35,517967.623719841
24,2,0,59186.0743568974
24,2,1,59186.0743568974
24,2,2,68982.0529902574
24,2,3,68982.0529902574
24,2,4,68982.0529902574
24,2,5,68982.0529902574
24,2,6,68982.0529902574
24,2,7,68982.0529902574
24,2,8,68982.0529902574
24,2,9,330322.062146533
24,2,10,330322.062146533
24,2,11,301689.328266948
24,2,12,301689.328266948
24,2,13,301689.328266948
24,2,14,301689.328266948
24,2,15,301689.328266948
24,2,16,301689.328266948
24,2,17,301689.328266948
24,2,18,301689.328266948
24,2,19,301689.328266948
24,2,20,301689.328266948
24,2,21,301689.328266948
24,2,22,301689.328266948
24,2,23,301689.328266948
24,2,24,301689.328266948
24,2,25,301689.328266948
24,2,26,301689.328266948
24,2,27,301689.328266948
24,2,28,301689.328266948
24,2,29,301689.328266948
24,2,30,301689.328266948
24,2,31,301689.328266948
24,2,32,301689.328266948
24,2,33,301689.328266948
24,2,34,301689.328266948
24,2,35,301689.328266948
25,3,0,21791.7286794065
25,3,1,21791.7286794065
25,3,2,21791.7286794065
25,3,3,24594.3597379388
25,3,4,24594.3597379388
25,3,5,24594.3597379388
25,3,6,24594.3597379388
25,3,7,27766.1063108969
25,3,8,27766.1063108969
25,3,9,27766.1063108969
25,3,10,27766.1063108969
25,3,11,167417.775073249
25,3,12,498343.823527612
25,3,13,498343.823527612
25,3,14,498343.823527612
25,3,15,498343.823527612
25,3,16,498343.823527612
25,3,17,498343.823527612
25,3,18,498343.823527612
25,3,19,498343.823527612
25,3,20,498343.823527612
25,3,21,498343.823527612
25,3,22,498343.823527612
25,3,23,498343.823527612
25,3,24,490267.441768751
25,3,25,490267.441768751
25,3,26,490267.441768751
25,3,27,490267.441768751
25,3,28,490267.441768751
25,3,29,490267.441768751
25,3,30,490267.441768751
25,3,31,490267.441768751
25,3,32,490267.441768751
25,3,33,490267.441768751
25,3,34,490267.441768751
25,3,35,490267.441768751
26,2,0,4997.74279672021
26,2,1,4997.74279672021
26,2,2,4997.74279672021
26,2,3,4997.74279672021
26,2,4,4997.74279672021
26,2,5,4997.74279672021
26,2,6,4997.74279672021
26,2,7,4997.74279672021
26,2,8,4997.74279672021
26,2,9,4997.74279672021
26,2,10,4997.74279672021
26,2,11,4997.74279672021
26,2,12,4997.74279672021
26,2,13,4997.74279672021
26,2,14,4997.74279672021
26,2,15,4997.74279672021
26,2,16,4997.74279672021
26,2,17,4997.74279672021
26,2,18,4997.74279672021
26,2,19,4997.74279672021
26,2,20,4997.74279672021
26,2,21,4997.74279672021
26,2,22,4997.74279672021
26,2,23,4997.74279672021
26,2,24,4997.74279672021
26,2,25,4997.74279672021
26,2,26,4997.74279672021
26,2,27,4997.74279672021
26,2,28,4997.74279672021
26,2,29,4997.74279672021
26,2,30,4997.74279672021
26,2,31,4997.74279672021
26,2,32,4997.74279672021
26,2,33,4997.74279672021
26,2,34,4997.74279672021
26,2,35,4997.74279672021
27,3,0,30679.4853837089
27,3,1,30679.4853837089
27,3,2,30679.4853837089
27,3,3,30679.4853837089
27,3,4,30679.4853837089
27,3,5,32597.8230840175
27,3,6,32597.8230840175
27,3,7,209338.778972449
27,3,8,188174.162134085
27,3,9,181087.329873362
27,3,10,181087.329873362
27,3,11,181087.329873362
27,3,12,179304.104070616
27,3,13,179304.104070616
27,3,14,179304.104070616
27,3,15,179304.104070616
27,3,16,179304.104070616
27,3,17,179304.104070616
27,3,18,179304.104070616
27,3,19,179304.104070616
27,3,20,179304.104070616
27,3,21,179304.104070616
27,3,22,179304.104070616
27,3,23,179304.104070616
27,3,24,179304.104070616
27,3,25,179304.104070616
27,3,26,179304.104070616
27,3,27,179304.104070616
27,3,28,179304.104070616
27,3,29,179304.104070616
27,3,30,179304.104070616
27,3,31,179304.104070616
27,3,32,179304.104070616
27,3,33,179304.104070616
27,3,34,179304.104070616
27,3,35,179304.104070616
28,3,0,48365.0901395633
28,3,1,48365.0901395633
28,3,2,48365.0901395633
28,3,3,43365.419677664
28,3,4,43365.419677664
28,3,5,42184.3106204543
28,3,6,42184.3106204543
28,3,7,42184.3106204543
28,3,8,42184.3106204543
28,3,9,42184.3106204543
28,3,10,42184.3106204543
28,3,11,42184.3106204543
28,3,12,42184.3106204543
28,3,13,42184.3106204543
28,3,14,42184.3106204543
28,3,15,42184.3106204543
28,3,16,42184.3106204543
28,3,17,42184.3106204543
28,3,18,42184.3106204543
28,3,19,42184.3106204543
28,3,20,42184.3106204543
28,3,21,42184.3106204543
28,3,22,42184.3106204543
28,3,23,42184.3106204543
28,3,24,42184.3106204543
28,3,25,42184.3106204543
28,3,26,42184.3106204543
28,3,27,42184.3106204543
28,3,28,42184.3106204543
28,3,29,42184.3106204543
28,3,30,42184.3106204543
28,3,31,42184.3106204543
28,3,32,42184.3106204543
28,3,33,42184.3106204543
28,3,34,42184.3106204543
28,3,35,42184.3106204543
29,2,0,86516.4978004667
29,2,1,91536.368409139
29,2,2,91536.368409139
29,2,3,102116.590431485
29,2,4,102116.590431485
29,2,5,93830.7506427008
29,2,6,93830.7506427008
29,2,7,71820.7502830397
29,2,8,71820.7502830397
29,2,9,71820.7502830397
29,2,10,71820.7502830397
29,2,11,71820.7502830397
29,2,12,71820.7502830397
29,2,13,71820.7502830397
29,2,14,71820.7502830397
